uniprot,protein_family,subcellular_raw,pfam,go,keywords
P0DQD2,Internalin family,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P0DQD3}. Cytoplasm {ECO:0000269|PubMed:11929538}. Cell membrane {ECO:0000269|PubMed:11929538}. Note=Approximately half the protein is secreted. Cell surface association is mediated by the GW domains and can occur when protein is added externally; externally added protein confers invasion competence. Protein is partially buried in the cell membrane; it binds non-covalently to lipoteichoic acid (LTA) on the bacterial membrane, and can be released from the surface by LTA. {ECO:0000250|UniProtKB:P0DQD3}.",PF09479;PF13457;PF12354;PF12799;PF08191;,GO:0005576; GO:0005737; GO:0005886; GO:0008201; GO:0008289; GO:0009274,3D-structure;Cell membrane;Cytoplasm;Heparin-binding;Leucine-rich repeat;Lipid-binding;Membrane;Reference proteome;Repeat;Secreted;Signal;Virulence
P10324,Pal lipoprotein family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_02204}; Lipid-anchor {ECO:0000255|HAMAP-Rule:MF_02204}.,PF00691;,GO:0009279; GO:0051301,3D-structure;Cell cycle;Cell division;Cell outer membrane;Direct protein sequencing;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P11439,,,PF09101;PF09009;PF09102;,GO:0001907; GO:0016779; GO:0047286; GO:0090729; GO:0141155,3D-structure;Direct protein sequencing;Disulfide bond;Glycosyltransferase;NAD;Nucleotidyltransferase;Reference proteome;Signal;Toxin;Transferase;Virulence
P13128,Cholesterol-dependent cytolysin family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:24751541, ECO:0000269|PubMed:3110067}. Host membrane {ECO:0000269|PubMed:24751541, ECO:0000269|PubMed:3110067}; Multi-pass membrane protein {ECO:0000269|PubMed:3110067}. Host cell membrane {ECO:0000269|PubMed:3110067}; Multi-pass membrane protein {ECO:0000269|PubMed:3110067}. Note=Secreted as soluble protein that then inserts into the host membrane and forms pores formed by transmembrane beta-strands. {ECO:0000305|PubMed:24751541}.",PF17440;PF01289;,GO:0005576; GO:0015485; GO:0020002; GO:0031640; GO:0042802; GO:0044658; GO:0090729; GO:0141160,3D-structure;Cytolysis;Hemolysis;Host cell membrane;Host membrane;Lipid-binding;Membrane;Phosphoprotein;Reference proteome;Secreted;Signal;Toxin;Transmembrane;Transmembrane beta strand;Ubl conjugation;Virulence
P13794,Outer membrane OOP (TC 1.B.6) superfamily,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:2447060}; Multi-pass membrane protein {ECO:0000305|PubMed:25846137}.,PF00691;PF05736;,GO:0001851; GO:0005509; GO:0006811; GO:0008360; GO:0009279; GO:0015288; GO:0019867; GO:0044406; GO:0046930,3D-structure;Cell outer membrane;Cell shape;Direct protein sequencing;Disulfide bond;Ion transport;Membrane;Porin;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane beta strand;Transport
P14283,,SUBCELLULAR LOCATION: [Pertactin autotransporter]: Periplasm {ECO:0000250}.; SUBCELLULAR LOCATION: [Outer membrane protein P.69]: Secreted. Cell surface.; SUBCELLULAR LOCATION: [Pertactin translocator]: Cell outer membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=The cleaved C-terminal fragment (autotransporter domain) is localized in the outer membrane.,PF03797;PF03212;,GO:0005576; GO:0007155; GO:0009279; GO:0009986; GO:0042597,3D-structure;Cell adhesion;Cell outer membrane;Direct protein sequencing;Membrane;Periplasm;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane beta strand;Virulence
P14738,,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000305|PubMed:11830639}; Peptidoglycan-anchor {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000305|PubMed:11830639, ECO:0000305|PubMed:14769030}. Note=Anchored to the cell wall by sortase A. {ECO:0000305|PubMed:11830639, ECO:0000305|PubMed:14769030}.",PF17961;PF02986;PF00746;PF10425;PF04650;,GO:0001968; GO:0007155; GO:0070051; GO:0098630,3D-structure;Cell adhesion;Cell wall;Peptidoglycan-anchor;Reference proteome;Repeat;Secreted;Signal;Virulence
P14756,Peptidase M4 family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1597429, ECO:0000269|PubMed:3141383, ECO:0000269|PubMed:9642203}. Note=Secreted in an Xcp-dependent fashion (a type II secretion pathway). {ECO:0000269|PubMed:9642203}.",PF07504;PF03413;PF01447;PF02868;,GO:0004175; GO:0004222; GO:0005576; GO:0006508; GO:0015628; GO:0043952; GO:0044010; GO:0046872; GO:0071978,3D-structure;Autocatalytic cleavage;Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Secreted;Signal;Virulence;Zinc;Zymogen
P17821,Heat shock protein 70 family,,PF00012;,GO:0005524; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051082,ATP-binding;Chaperone;Nucleotide-binding;Phosphoprotein;Reference proteome;Stress response
P17835,Fimbrial protein family,SUBCELLULAR LOCATION: Fimbrium. Note=Pili structure on the cell surface.,PF16970;,GO:0009289; GO:0043709,Disulfide bond;Fimbrium;Reference proteome;Signal
P18011,SctE/SipB/YopB family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10545510, ECO:0000269|PubMed:17719540, ECO:0000269|PubMed:7954817, ECO:0000269|PubMed:9009343}. Host membrane {ECO:0000269|PubMed:10545510, ECO:0000269|PubMed:34809452}; Multi-pass membrane protein {ECO:0000269|PubMed:34809452}. Host cell {ECO:0000269|PubMed:9009343}. Host nucleus {ECO:0000305|PubMed:17719540}. Note=Secreted via the type III secretion system (T3SS) (PubMed:10545510). Localizes at the surface of needle tips via IpaD/SctA (PubMed:17367391). IpaB/SctE and IpaC/SctB form a multimeric integral membrane complex in eukaryotic cell membranes (PubMed:10545510, PubMed:17367391). Also secreted into the cytoplasm of the infected macrophage after the escape of bacteria from phagosome, where it colocalizes with ICE (PubMed:8670890, PubMed:9009343). May localize to host cell nucleus during G2/M phase of the host cell cycle (PubMed:17719540). {ECO:0000269|PubMed:10545510, ECO:0000269|PubMed:17367391, ECO:0000269|PubMed:17719540, ECO:0000269|PubMed:8670890, ECO:0000269|PubMed:9009343}.",PF04888;PF16535;,GO:0005576; GO:0016020; GO:0033644; GO:0042025; GO:0043657,3D-structure;Coiled coil;Direct protein sequencing;Host membrane;Host nucleus;Membrane;Plasmid;Reference proteome;Secreted;Transmembrane;Transmembrane helix;Virulence
P18012,SctB/SipC family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10545510, ECO:0000269|PubMed:7954817, ECO:0000269|PubMed:9001387}. Host membrane {ECO:0000269|PubMed:10545510, ECO:0000305|PubMed:9001387}; Single-pass membrane protein {ECO:0000255}. Note=Secreted via the type III secretion system (T3SS) (PubMed:10545510). Localizes at needle tips (PubMed:17367391, PubMed:19433542). IpaB/SctE and IpaC/SctB form a multimeric integral membrane complex in eukaryotic cell membranes (PubMed:17367391). {ECO:0000269|PubMed:10545510, ECO:0000269|PubMed:17367391, ECO:0000269|PubMed:19433542}.",PF09599;,GO:0005576; GO:0033644,Direct protein sequencing;Host membrane;Membrane;Plasmid;Reference proteome;Secreted;Transmembrane;Transmembrane helix;Virulence
P18013,Invasin protein D family,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17077085}. Note=Secreted via the type III secretion system (T3SS). Localizes to the tip of the external secretion needle that is part of the T3SS apparatus.,PF06511;,GO:0005576; GO:0034055,3D-structure;Coiled coil;Plasmid;Reference proteome;Secreted;Virulence
P18584,Peptidase S1C family,SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.,PF13180;PF17820;PF13365;,GO:0004252; GO:0006508; GO:0030288,Hydrolase;Periplasm;Protease;Reference proteome;Repeat;Serine protease;Signal;Stress response
P21171,Peptidase C40 family,SUBCELLULAR LOCATION: Cell surface {ECO:0000269|PubMed:16247833}. Secreted {ECO:0000269|PubMed:22837151}.,PF01476;PF00877;PF08239;,GO:0000270; GO:0004175; GO:0005576; GO:0006508; GO:0008234; GO:0009986,Direct protein sequencing;Hydrolase;Protease;Reference proteome;Repeat;Secreted;Signal;Thiol protease
P26093,,SUBCELLULAR LOCATION: Cell outer membrane; Lipid-anchor.,PF03767;,GO:0009279,3D-structure;Cell outer membrane;Direct protein sequencing;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P26623,FKBP-type PPIase family,SUBCELLULAR LOCATION: Cell outer membrane.,PF00254;PF01346;,GO:0003755; GO:0006457; GO:0009279,Cell outer membrane;Isomerase;Membrane;Reference proteome;Rotamase;Signal
P29485,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,PF00486;,GO:0000160; GO:0003677; GO:0005886; GO:0045893,Cell membrane;DNA-binding;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P30718,Chaperonin (HSP60) family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,PF00118;,GO:0005524; GO:0006457; GO:0009408; GO:0016853; GO:0042026; GO:0051082; GO:0140662; GO:1990220,ATP-binding;Chaperone;Cytoplasm;Direct protein sequencing;Isomerase;Nucleotide-binding;Reference proteome
P31772,"Bacterial secretin family, PilQ subfamily",SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000305}.,PF00263;PF03958;,GO:0009279; GO:0009306; GO:0030420,Cell outer membrane;Competence;Membrane;Reference proteome;Signal;Transport
P33379,,SUBCELLULAR LOCATION: Cell membrane; Single-pass membrane protein.,PF05058;,GO:0005886,3D-structure;Cell membrane;Direct protein sequencing;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Virulence
P35818,"Bacterial secretin family, GSP D subfamily","SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000305|PubMed:29042496}. Note=Most of the protein is in the periplasm which it traverses to contact proteins of the cell inner membrane. {ECO:0000305|PubMed:23188826, ECO:0000305|PubMed:29042493, ECO:0000305|PubMed:29042496}.",PF00263;PF03958;PF21305;,GO:0009279; GO:0009306; GO:0015627; GO:0015628; GO:0042802,3D-structure;Cell outer membrane;Membrane;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P38006,Chlamydial OMP family,SUBCELLULAR LOCATION: Cell outer membrane; Multi-pass membrane protein. Note=Outer membrane of elementary body.,PF01308;,GO:0005198; GO:0006811; GO:0009279; GO:0015288; GO:0046930,Cell outer membrane;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P43724,Bacterial histone-like protein family,,PF00216;,GO:0003677; GO:0005694; GO:0005829; GO:0006310; GO:0006351; GO:0006355; GO:0006417; GO:0030527,DNA recombination;DNA-binding;Reference proteome;Transcription;Transcription regulation;Translation regulation
P43838,OmpP1/FadL family,SUBCELLULAR LOCATION: Cell outer membrane; Multi-pass membrane protein.,PF03349;,GO:0009279; GO:0015483,Cell outer membrane;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand
P43839,Gram-negative porin family,SUBCELLULAR LOCATION: Cell outer membrane; Multi-pass membrane protein.,PF13609;,GO:0006811; GO:0009279; GO:0015288; GO:0046930,Cell outer membrane;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P43840,"Outer membrane OOP (TC 1.B.6) superfamily, OmpA family","SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_00842, ECO:0000269|PubMed:6603458}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00842}.",PF00691;PF01389;,GO:0009279; GO:0015288; GO:0034220; GO:0046930; GO:0051701,Cell outer membrane;Disulfide bond;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P43867,Peptidase S14 family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00444}.,PF00574;,GO:0004176; GO:0004252; GO:0005737; GO:0006515; GO:0009368; GO:0051117,Cytoplasm;Hydrolase;Protease;Reference proteome;Serine protease
P43926,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00118}.,PF00009;PF03144;PF03143;,GO:0000287; GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006414,Cytoplasm;Elongation factor;GTP-binding;Hydrolase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome
P44089,Slam family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250|UniProtKB:Q4QLR4}; Multi-pass membrane protein {ECO:0000255}.,PF04575;PF24575;,GO:0009279,Cell outer membrane;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand
P44600,TonB-dependent receptor family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|PROSITE-ProRule:PRU01360}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU01360}.,PF07715;PF00593;,GO:0009279; GO:0015232; GO:0015344; GO:0044718,Cell outer membrane;Membrane;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport
P44602,,SUBCELLULAR LOCATION: Secreted.,PF05860;,GO:0005576,3D-structure;Reference proteome;Repeat;Secreted;Signal;Transport
P44970,TonB-dependent receptor family,"SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|PROSITE-ProRule:PRU01360, ECO:0000305}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9K0U9, ECO:0000255|PROSITE-ProRule:PRU01360}.",PF07715;PF00593;,GO:0009279; GO:0015091; GO:0015344; GO:0044718,Cell outer membrane;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport;Virulence
P51752,FKBP-type PPIase family,SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,PF00254;PF01346;,GO:0003755; GO:0005576; GO:0006457; GO:0016020,Direct protein sequencing;Isomerase;Reference proteome;Rotamase;Secreted;Signal;Virulence
P56963,Bacterial flagellin family,SUBCELLULAR LOCATION: Secreted. Bacterial flagellum.,PF00700;PF07196;PF00669;,GO:0005198; GO:0005576; GO:0009288,Bacterial flagellum;Reference proteome;Secreted
P64024,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00118}.,PF00009;PF03144;PF03143;,GO:0000287; GO:0003746; GO:0003924; GO:0005525; GO:0005829,Cytoplasm;Elongation factor;GTP-binding;Hydrolase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome
P71540,Enoyl-CoA hydratase/isomerase family,,PF00378;,GO:0004490; GO:0005886; GO:0046247,Reference proteome
P71810,,,PF25362;,GO:0005576,Membrane;Reference proteome;Transmembrane;Transmembrane helix
P80672,,SUBCELLULAR LOCATION: Cell outer membrane.,PF05538;,GO:0006811; GO:0007155; GO:0009279; GO:0015288; GO:0046930,Cell adhesion;Cell outer membrane;Direct protein sequencing;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P95149,CoA-transferase III family,,PF02515;,GO:0005886; GO:0009274; GO:0016740,Direct protein sequencing;Reference proteome;Transferase
P95202,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
P95229,,,,GO:0016020; GO:0016298,Reference proteome
P96264,"Peptidase M28 family, M28A subfamily","SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00303}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303, ECO:0000305|PubMed:24093492}.",PF02225;PF04389;,GO:0004177; GO:0005576; GO:0005886; GO:0006508; GO:0008235; GO:0046872,Aminopeptidase;Cell membrane;Hydrolase;Lipoprotein;Membrane;Metal-binding;Palmitate;Protease;Reference proteome;Signal;Zinc
P96394,,,PF13521;PF01467;,GO:0000166; GO:0000309; GO:0009435; GO:0050262,Nucleotide-binding;Reference proteome
P96402,'GDXG' lipolytic enzyme family,"SUBCELLULAR LOCATION: Cell surface {ECO:0000269|PubMed:22038913}. Secreted, cell wall {ECO:0000269|PubMed:22038913}. Secreted, capsule {ECO:0000269|PubMed:22038913}. Note=Cell surface protein that is present in both the cell wall and the capsule. {ECO:0000269|PubMed:22038913}.",PF20434;,GO:0004806; GO:0008126; GO:0009986; GO:0042603; GO:0046503,Cell wall;Hydrolase;Reference proteome;Secreted
P96825,Short-chain dehydrogenases/reductases (SDR) family,,PF00106;,GO:0003857; GO:0004300; GO:0005886; GO:0006635; GO:0009274; GO:0070490,Isopeptide bond;Oxidoreductase;Reference proteome;Ubl conjugation
P9WF43,WhiB family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,PF02467;,GO:0003677; GO:0005737; GO:0006351; GO:0015035; GO:0035731; GO:0045454; GO:0045892; GO:0046872; GO:0047134; GO:0051539; GO:0071731,3D-structure;4Fe-4S;Cytoplasm;Disulfide bond;DNA-binding;Iron;Iron-sulfur;Metal-binding;Reference proteome;Transcription;Transcription regulation
P9WF69,PINc/VapC protein family,,PF01850;,GO:0000287; GO:0004540; GO:0005886; GO:0016788; GO:0045926,Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome;Toxin-antitoxin system
P9WF73,PINc/VapC protein family,,PF01850;,GO:0000287; GO:0004540; GO:0016787; GO:0045926,Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome;Toxin-antitoxin system
P9WFC9,Universal stress protein A family,,PF00582;,GO:0005886; GO:0006950; GO:0009274; GO:0046677,3D-structure;Reference proteome
P9WFK1,UPF0336 family,,PF13452;,GO:0005886; GO:0006633; GO:0019171,3D-structure;Reference proteome
P9WFL9,UPF0161 family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_00386}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00386}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_00386}.,PF01809;,GO:0005886; GO:0032977; GO:0051205,Cell membrane;Membrane;Reference proteome
P9WFR1,UDP-glycosyltransferase family,,PF06722;,GO:0005886; GO:0008194; GO:0009247; GO:0016758,Glycosyltransferase;Reference proteome;Transferase
P9WG25,Transketolase family,,PF02779;PF22613;PF00456;,GO:0000287; GO:0004802; GO:0005576; GO:0005829; GO:0005886; GO:0006098; GO:0009274,3D-structure;Acetylation;Calcium;Magnesium;Metal-binding;Reference proteome;Thiamine pyrophosphate;Transferase
P9WG55,"FKBP-type PPIase family, Tig subfamily",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00303}. Note=About half TF is bound to the ribosome near the polypeptide exit tunnel while the other half is free in the cytoplasm. {ECO:0000255|HAMAP-Rule:MF_00303}.,PF00254;PF05698;PF05697;,GO:0003755; GO:0005829; GO:0005886; GO:0009267; GO:0009274; GO:0015031; GO:0043022; GO:0043335; GO:0044183; GO:0046677; GO:0051083; GO:0051301,Cell cycle;Cell division;Chaperone;Cytoplasm;Isomerase;Reference proteome;Rotamase;Stress response
P9WG67,Thioredoxin family,,PF00085;,GO:0005576; GO:0005737; GO:0005829; GO:0005886; GO:0009055; GO:0009274; GO:0015035; GO:0015036; GO:0015038; GO:0045454,3D-structure;Direct protein sequencing;Disulfide bond;Electron transport;Redox-active center;Reference proteome;Transport
P9WGT7,PstS family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.,PF12849;,GO:0005576; GO:0005886; GO:0006817; GO:0009274; GO:0016036; GO:0035435; GO:0042301; GO:0043190; GO:0051301; GO:0051701; GO:0052170,3D-structure;Cell membrane;Lipoprotein;Membrane;Palmitate;Phosphate transport;Reference proteome;Signal;Stress response;Transport
P9WGT9,PstS family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.,PF12849;,GO:0005576; GO:0005886; GO:0006817; GO:0035435; GO:0042301; GO:0043190,Cell membrane;Lipoprotein;Membrane;Palmitate;Phosphate transport;Reference proteome;Signal;Transport;Virulence
P9WGU1,PstS family,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305|PubMed:1906192}. Cell surface {ECO:0000269|PubMed:1612766, ECO:0000269|PubMed:25359607}. Secreted, cell wall {ECO:0000269|PubMed:10426995}. Secreted {ECO:0000305|PubMed:16622205, ECO:0000305|PubMed:1906192}. Note=A soluble cell wall-associated protein (PubMed:10426995). Also found in culture filtrate in increasing quantities during growth (PubMed:16622205, PubMed:1906192). {ECO:0000269|PubMed:10426995, ECO:0000269|PubMed:16622205, ECO:0000269|PubMed:1906192}.",PF12849;,GO:0005576; GO:0005829; GO:0005886; GO:0006817; GO:0007155; GO:0009274; GO:0009986; GO:0016036; GO:0035435; GO:0042301; GO:0043190,3D-structure;Cell adhesion;Cell membrane;Cell wall;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphate transport;Reference proteome;Secreted;Signal;Transport;Virulence
P9WH05,"DEAD box helicase family, DeaD/CsdA subfamily",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00964}.,PF03880;PF00270;PF25399;PF00271;,GO:0000027; GO:0003724; GO:0005524; GO:0005829; GO:0006401; GO:0009274; GO:0009409; GO:0016887; GO:0033592; GO:0070417,ATP-binding;Cytoplasm;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;RNA-binding;Stress response
P9WHE3,Bacterial ribosomal protein bL12 family,,PF00542;PF16320;,GO:0003729; GO:0003735; GO:0005829; GO:0005886; GO:0006412; GO:0009274; GO:0019843; GO:0022625,Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
P9WHM5,GART family,,PF00551;,GO:0000287; GO:0004644; GO:0005737; GO:0005829; GO:0006189; GO:0046653,3D-structure;Magnesium;Metal-binding;Purine biosynthesis;Reference proteome;Transferase
P9WHU5,Peptidase C40 family,,PF00877;,GO:0006508; GO:0008234; GO:0008745; GO:0009274; GO:0071554; GO:0071555,3D-structure;Cell wall biogenesis/degradation;Hydrolase;Protease;Reference proteome;Signal;Thiol protease
P9WHV9,Polyphosphate kinase 1 (PPK1) family,,PF02503;PF13090;PF17941;PF13089;,GO:0000287; GO:0005524; GO:0005886; GO:0006799; GO:0008976; GO:0009358; GO:0016020; GO:0071456,ATP-binding;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase
P9WHW9,Mycobacterial PPE family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:14573626, ECO:0000269|PubMed:15039340}. Cell membrane {ECO:0000269|PubMed:14573626, ECO:0000269|PubMed:15039340}. Cell surface {ECO:0000269|PubMed:24467650}. Note=Detected predominantly in the membrane and cell wall fractions. {ECO:0000269|PubMed:14573626, ECO:0000269|PubMed:15039340}.",PF00823;,GO:0005886; GO:0009986; GO:0052572,Cell membrane;Cell wall;Membrane;Reference proteome;Secreted;Virulence
P9WHY3,Mycobacterial PPE family,"SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:32139546, ECO:0000305|PubMed:35136132}.",PF00823;PF12484;,GO:0009274; GO:0009279; GO:0015155; GO:0015168; GO:0015254; GO:0015267; GO:0015574; GO:0015767; GO:0015771; GO:0015793; GO:0035821; GO:0042594; GO:0042783; GO:0052572; GO:0055056; GO:0071466; GO:0140321; GO:1904659; GO:1904981,Acetylation;Cell outer membrane;Membrane;Reference proteome;Transport;Virulence
P9WHY9,Mycobacterial PPE family,,PF00823;PF18878;,GO:0052572,Reference proteome
P9WHZ5,Mycobacterial PPE family,,PF08237;PF00823;,GO:0052167; GO:0052572,Reference proteome
P9WHZ7,Mycobacterial PPE family,,PF01469;PF00823;,GO:0052572,Reference proteome
P9WI03,Mycobacterial PPE family,,PF00823;PF12484;,GO:0010961; GO:0052572; GO:1903830,Reference proteome
P9WI05,Mycobacterial PPE family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:24525621}. Cell surface {ECO:0000269|PubMed:24525621}.",PF00823;PF12484;,GO:0009986; GO:0010961; GO:0052572; GO:0141184; GO:1903830,Cell wall;Direct protein sequencing;Reference proteome;Secreted;Virulence
P9WI07,Mycobacterial PPE family,,PF00823;PF12484;,GO:0052572,Reference proteome
P9WI19,Mycobacterial PPE family,,PF00823;PF12484;,GO:0052572,Reference proteome
P9WI21,Mycobacterial PPE family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,PF01469;PF00823;,GO:0005886; GO:0052572,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P9WI23,Mycobacterial PPE family,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:26729876}. Note=Secreted via the ESX-3 / type VII secretion system (T7SS) (PubMed:26729876). Secretion is dependent on EsxG and EsxH (PubMed:26729876). {ECO:0000269|PubMed:26729876}.,PF00823;PF18878;,GO:0005576; GO:0052572,Reference proteome;Secreted
P9WI27,Mycobacterial PPE family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:22427668, ECO:0000269|PubMed:23469198}. Cell surface {ECO:0000269|PubMed:23469198}. Note=Not secreted but surface exposed. Mainly localized in the cell wall fraction regardless of PE11 co-expression. {ECO:0000269|PubMed:23469198}.",PF00823;PF12484;,GO:0009986; GO:0052572,Cell wall;Reference proteome;Secreted;Virulence
P9WI33,Mycobacterial PPE family,,PF00823;PF12484;,GO:0052572,Reference proteome
P9WI37,Mycobacterial PPE family,,PF01469;PF00823;,GO:0052572,Reference proteome
P9WI41,Mycobacterial PPE family,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:19602152}. Note=Secreted via the ESX-5 / type VII secretion system (T7SS). {ECO:0000269|PubMed:19602152}.,PF01469;PF00823;,GO:0005576; GO:0042783; GO:0052572,Reference proteome;Secreted
P9WI43,Mycobacterial PPE family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.,PF00823;PF18878;,GO:0005886; GO:0052572,3D-structure;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P9WI45,Mycobacterial PPE family,,PF00823;PF18878;,GO:0052572,Reference proteome
P9WI47,Mycobacterial PPE family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:23448669}. Host cytoplasm {ECO:0000269|PubMed:28071726, ECO:0000305|PubMed:23448669}. Host nucleus {ECO:0000269|PubMed:28071726}. Note=Translocated into the macrophage nucleus via the classical importin alpha/beta pathway. {ECO:0000269|PubMed:28071726}.",PF00823;PF18878;,GO:0005576; GO:0005829; GO:0005886; GO:0030430; GO:0042025; GO:0052572,Host cytoplasm;Host nucleus;Reference proteome;Secreted;Virulence
P9WI79,"Protein kinase superfamily, Ser/Thr protein kinase family",SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,PF01436;PF00069;,GO:0004672; GO:0004674; GO:0005524; GO:0005576; GO:0005829; GO:0005886; GO:0009274; GO:0016036; GO:0030145; GO:0045717; GO:0106310,3D-structure;Acetylation;ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase;Transmembrane;Transmembrane helix;Virulence
